MMAR_5491,tyrT,unknown
MMAR_1451,MMAR_1451,unknown
MMAR_0079,MMAR_0079,unknown
MMAR_2957,MMAR_2957,unknown
MMAR_2950,MMAR_2950,unknown
MMAR_2989,MMAR_2989,unknown
MMAR_2954,MMAR_2954,unknown
MMAR_2960,MMAR_2960,unknown
MMAR_2963,MMAR_2963,unknown
MMAR_2965,nadR,unknown
MMAR_2961,MMAR_2961,unknown
MMAR_2951,MMAR_2951,unknown
MMAR_2967,MMAR_2967,unknown
MMAR_2968,MMAR_2968,unknown
MMAR_2975,MMAR_2975,unknown
MMAR_2997,MMAR_2997,unknown
MMAR_2978,cyp135B6,unknown
MMAR_2979,MMAR_2979,unknown
MMAR_3532,MMAR_3532,unknown
MMAR_4471,MMAR_4471,unknown
MMAR_5523,glnT,unknown
MMAR_4453,esxP,unknown
MMAR_4455,trcR,unknown
MMAR_4457,MMAR_4457,unknown
MMAR_4459,MMAR_4459,unknown
MMAR_4460,MMAR_4460,unknown
MMAR_4461,MMAR_4461,unknown
MMAR_4463,lpqU,unknown
MMAR_4462,eno,unknown
MMAR_4464,MMAR_4464,unknown
MMAR_4469,arsC,unknown
MMAR_4470,lpqT,unknown
MMAR_4472,rplY,unknown
MMAR_4467,glmU,unknown
MMAR_4473,pth,unknown
MMAR_4466,MMAR_4466,unknown
MMAR_4474,MMAR_4474,unknown
MMAR_4551,MMAR_4551,unknown
MMAR_3910,MMAR_3910,unknown
MMAR_5438,espM,binds the whiB6-espM intergenic region and regulates ESX-1 activity.
MMAR_3911,MMAR_3911,
MMAR_5562,MMAR_5562,
MMAR_4274,fdxC,
MMAR_2955,MMAR_2955,
MMAR_1598,MMAR_1598,
MMAR_5460,MMAR_5460,
MMAR_3173,mbtH,
MMAR_3179,MMAR_3179,
MMAR_0674,MMAR_0674,
MMAR_0675,MMAR_0675,
MMAR_0101,MMAR_0101,
MMAR_5541,MMAR_5541,
MMAR_0497,MMAR_0497,
MMAR_0719,thiS,
MMAR_5564,MMAR_5564,
MMAR_1437,MMAR_1437,
MMAR_1335,MMAR_1335,
MMAR_5495,metU,
MMAR_1435,MMAR_1435,
MMAR_1592,MMAR_1592,
MMAR_5500,valU,
MMAR_2146,MMAR_2146,
MMAR_5580,MMAR_5580,
MMAR_2879,MMAR_2879,
MMAR_2994,fdxA_2,
MMAR_3377,MMAR_3377,
MMAR_3517,rubA_1,
MMAR_3589,MMAR_3589,
MMAR_5509,metT_1,
MMAR_3777,MMAR_3777,
MMAR_5511,proU,
MMAR_5514,hisT,
MMAR_5515,lysU,
MMAR_5517,rrf,
MMAR_4213,tatB,
MMAR_5543,MMAR_5543,
MMAR_5524,alaV,
MMAR_4636,MMAR_4636,
MMAR_4870,MMAR_4870,
MMAR_2547,MMAR_2547,
MMAR_5183,MMAR_5183,
MMAR_5385,MMAR_5385,
MMAR_2440,MMAR_2440,
MMAR_0045,MMAR_0045,
MMAR_4161,fadE3,
MMAR_4162,gdpD,
MMAR_4163,MMAR_4163,
MMAR_0286,lipJ,
MMAR_1473,nuoK,
MMAR_0882,galE3,
MMAR_2099,MMAR_2099,
MMAR_0883,MMAR_0883,
MMAR_0946,MMAR_0946,
MMAR_1129,MMAR_1129,
MMAR_1131,MMAR_1131,
MMAR_5406,dinP,
MMAR_2327,MMAR_2327,
MMAR_2343,MMAR_2343,
MMAR_0537,MMAR_0537,
MMAR_1153,acrA1,
MMAR_2191,MMAR_2191,
MMAR_3795,MMAR_3795,
MMAR_3125,MMAR_3125,
MMAR_0507,MMAR_0507,
MMAR_4129,gloA_2,
MMAR_2793,MMAR_2793,
MMAR_3080,tatA,
MMAR_5556,MMAR_5556,
MMAR_0186,MMAR_0186,
MMAR_0546,esxG,
MMAR_0681,MMAR_0681,
MMAR_1272,MMAR_1272,
MMAR_1866,MMAR_1866,
MMAR_3529,MMAR_3529,
MMAR_4066,MMAR_4066,
MMAR_4907,MMAR_4907,
MMAR_4927,MMAR_4927,
MMAR_5109,folK,
MMAR_1180,MMAR_1180,
MMAR_1181,MMAR_1181,
MMAR_2665,eccC5,
MMAR_5452,eccD1,
MMAR_1778,tesA,Involved in phthiocerol dimycocerosate (PDIM) and phenolic glycolipid (PGL) biosynthesis. In M. tuberculosis H37Rv TesA interacts with the PpsE protein. PpsE is part of the phenolphthiocerol synthase PKS cluster.
MMAR_1182,MMAR_1182,
MMAR_1183,MMAR_1183,
MMAR_1185,metC,
MMAR_1186,icd1,
MMAR_1332,MMAR_1332,
MMAR_1233,MMAR_1233,
MMAR_1187,MMAR_1187,
MMAR_1188,trpS,
MMAR_1189,MMAR_1189,
MMAR_1191,sugI,
MMAR_1184,metA,
MMAR_1193,MMAR_1193,
MMAR_1196,sigJ,
MMAR_1201,sdhA,
MMAR_1204,cdd,
MMAR_1253,sseA,
MMAR_1653,MMAR_1653,
